Name,Current Company/Employer,Past Companies,Description,Key Areas of Interest/Expertise,In what capacity do you want to help out?,Advisor Location.,Berkeley SkyDeck or Milano,id
Raghavendra Subba Bathula,Nextdoor,"Shopify, Twitter, RallyHealth (a subsidiary of United HealthCare), Wipro, IBM and HSBC ","Extensive data experience in various industries and countries, with a track record of leading major projects for companies like Shopify, Twitter, Target, IBM, HSBC, and UnitedHealth Group. My approach is data-centric, and I excel in extracting valuable insights from data to solve business challenges.","Data Platforms, ML and AI",Mentor,USA/Canada,Berkeley Skydeck,recRCOCTe3DMcMarI
Ernest Owusu,6sense,Persado,"After graduating from UC Berkeley, I had a brief stint playing in the NFL then wound up in tech. Most recently, I have served as a sr GTM leader that helped 6sense grow from Series B w/ $10M ARR to Series E w/ +160M ARR","TAM/ICP Development, sales acceleration",Advisor,USA/Canada,Berkeley Skydeck,recRE2LEJsE41MG2F
Sara Zare,Self Employed,Google,"Electrical, Mechanical, Nano, Bio and Software engineering ","Product Management/Strategy/Market Fit, Go To Market, and Fundraising",Advisor,USA/Canada,Berkeley Skydeck,recRQCnJkPNqDiXp2
Misha Cornes,Lyft,"McKinsey Design, LUNAR (Industrial Design), Sea Power (Berkeley-incubated startup)","Haas MBA, 20+ year working at the intersection of Design and Product Innovation, deep design agency and consulting background, former entrepreneur","Product Design, UX Research, Customer Conversations, Naming & Branding",Mentor,USA/Canada,Berkeley Skydeck,recRRBgor02RrOJOK
Harish Kumar Singh,Lacework ,"VMware,e8 security","Over 10 years in enterprise security solving data/ analytics/AI challenges. Currently,  a cofounder of a stealth start up building a zero trust SASE solution","AI, ml, data, distributed systems,  security",Advisor,USA/Canada,Berkeley Skydeck,recRWJBnVDTs6hKzs
Alok Gupta,Tailorbird Inc.,"Strateos, GE Digital, Avitas Systems (BHGE) , e*Trade, CashEdge (FiServ)","Engineering Leadership, Solving Interesting Business problems with cutting edge Technology","Technology alignment with Business Goals (Reduce Waste) , Engineering Leadership, Faster Product Execution cycles, Team Formation from Seed to Series C/D",Advisor,USA/Canada,Berkeley Skydeck,recRf7YtlWEuH5zxq
Jose Lepe,iota Biosciences,"iota Biosciences, Abbott Laboratories, SetPoint Medical, St. Jude Medical, Naval Postgraduate School, Self-Employed",Mechanical & Biomedical Engineer experienced leading teams at startups & Fortune 500 ,"Medical Devices, Consumer Goods",Advisor,USA/Canada,Berkeley Skydeck,recRfFe7TrdLDmrsb
Rachel Stern,Streamline Software,Advantage Capital. InState Partners,"With over a decade of experience in investing, operating, and strategizing in the GovTech/CivicTech/RegTech space, I am passionate about creating and scaling SaaS solutions that improve the lives of citizens interacting with state and local governments. I have a proven track record of discovering, growing, and exiting from startups that interact with government at every level, leveraging my extensive network of contract lobbyists, strategic advisors, and sales professionals across the country.","Government Tech, Regulated Tech, State and Local Government, Legislation, Procurement",Advisor,USA/Canada,Berkeley Skydeck,recRpSvPYJRpoWiGm
Nidhi Kathuria,my bliss,"Royal Bank of Scotland, Kraken Digital Assets Exchange","Nidhi is a social intrapreneur, product and a tech leader with extensive industry experience setting up product vision, achieving product market fit, driving strategy, building and scaling full stack technology products and teams. Nidhi has set up business verticals disrupting the trillion-dollar digital assets market, built products from ground-up in healthcare and fintech, led and scaled global and remote teams in hyper growth environments. Nidhi has volunteered extensively on social projects to re-imagine learning and education, children wellbeing and holistic wellbeing. Nidhi is also the podcast host for one of the world’s biggest school meal programs helping millions of children.","Product Management, Product Strategy and Analytics, Leadership Coaching & Mentoring",Advisor,USA/Canada,Berkeley Skydeck,recS0QwFHzBsYQ9Ol
Ken Mohan,Strategic Advisor / Former Head of Retirement & Health MetLife,"MetLife, J.P. Morgan, Bell Labs, various tech start-ups","Global Financial Service Leader. Delivering Transformation and Profitable Growth at Scale. Accomplished executive with extensive background in financial services, including strategy, distribution, product, and operations. Directly led teams of 700+ employees. Global leadership experience in US/Japan/China. Results-driven P&L leader with demonstrated success of delivering transformation and profitable growth. Build, develop, and lead large organizations underpinned by decisive talent acquisition and cultural change. Drive global initiatives to seize market opportunities in complex environments. Purpose-driven and inclusive leader known for fact-based decision making, customer-centric mindset, and cultivating engaging high-performance teams. Yale MBA, MS Comp. Sc.","Financial Services, Insurance, Distribution Scaling, Product Management, Talent Acquistion, Governance, Risk Management",Advisor,USA/Canada,Berkeley Skydeck,recS9It4BVp246okE
Kim Long,PTC,"Foundation Medicine, Workday, GivingFund, Bank of America","I am a tech strategist, social enterprise funder and angel investor. I launched a non profit, GivingFund after graduating from Haas. I work in the tech industry as a corporate strategy Director at PTC. I have also been investing in new ventures coming out of Berkeley.","Software, cloud, Fintech, biotech",Advisor,,Berkeley Skydeck,recS9hslmUVPHTITA
Marita Cavalcanti,Proportunity,"Lehman Brothers, Nomura, Elm Grove Capital, Ebury, OakNorth","15 plus years mainly London based former investment banking/fixed income professional. Fin-Tech entrepreneur, with over 5 years’ experience. Investment banking career in origination and coverage of institutional clients across banks, corporates and agencies in M&A, fixed income and equity. Exceptional network and experience in fintech, alternative funding solutions for corporates as well as lenders to SMEs. ","• Client and business origination, relationship management through business cycles; • Strong technical skills with regards to fixed income solutions and product innovation; • Funding and risk management strategy and execution; • M&A, structured credit, interest rate and foreign exchange risk management advisory and execution experience; • Process improvement around liquidity management and capital raising and deployment.",Advisor,Europe,"SkyDeck Europe, Milano",recSBWRTIHhhYsfkp
Alex Ortiz,Bright Growth,"Salesforce.com, Tray.io, Sendoso, Host Analytics, LinkShare",20+ years building successful B2B SaaS company as a marketing leader. ,"Marketing, B2B, Software",Advisor,USA/Canada,Berkeley Skydeck,recSEyQwL6k83jcLJ
Lorenzo Berti,"Pleno, Inc.","Element Biosciences, Illumina","20 years of experience, academic and government research than evolved into corporate R&D. 8 years on corporation last 3 in two successful startups. Currently VP of R&D for Series A startup in San Diego. More detail in Linkedin","Chemistry and Materials, Genomics, Life Sciences, New technologies, , Startup environment, Product development, organizational challenges, coaching, ",Advisor,USA/Canada,Berkeley Skydeck,recSRMSa8yvz7snhm
Almog Goldstein,Keepers Child Safety,Beaches.App,"Started my first startup by the age of 16, Beaches.App, I recruited 40+ volunteers over 5 years, we developed Israel’s #1 app for finding the best beach around. Covered by the press, reaching more than 100,000 downloads, the app achieved 400% user growth each year, 60k+ active users, a 4.3 store rating, and 60% store conversion.   Served at the Israeli Army as a Cyber Investigator, I investigated complex classified technological crime cases including fraud, suicides, sexual assaults, and computer crimes. Awarded by Head of Military Police, for outstanding contribution to the corps.   Joined Keepers.Ai as the first product manager at the age of 21, I strategically planned and executed B2C mobile product redesign, leading to a seamless launch with Three Hutchison and Vodafone, achieving 40% conversion and 50% retention with Vodafone’s customers.   8 months after joining Keepers, I was promoted by the CEO to a VP Product, hiring two product managers and leading the first multi-million dollar B2B mobile SDK integration project with Rakuten Japan, aiming to achieve 6M active users. Currently leading our B2C growth team (7 employees), managing a yearly budget of $1M to increase division’s net ARPU by $400, significantly improving CPI, CPA, conversion, WAU, retention, and ROI KPIs using A/B testing & weekly releases.   Completed UC Berkley Program in Management, Leadership, and Marketing by 2021, waking up 3 times a week at 4:30 am for over a year to complete the program on zoom from Israel. Graduated from world-leading universities’ product management programs (UC Berkeley, Stanford, Kellogg, Israel’s Technion). Accepted to Berkeley’s Executive Leadership, Product, and Business program (COBE), completed by 2022.","B2C, growth, product management, market validation, product optimization, business strategy, entrepreneurship, storytelling, analytics, market research ",Mentor,Asia,Berkeley Skydeck,recSSilQYXv4ANnQk
Rahul Iyer,KCK Group,"KCK Group, Brightlight Partners, Siluria Technologies, Primafuel, Intelligent Energy ","Build 4 venture backed cleantech companies in chemicals, fuels, mobility, energy.  Private exists and one public.  Engineer by training, strong background in finance, strategic partnerships, technology licensing.","energy, chemicals, batteries, EV, climate policy, low carbon fuels, infrastructure projects, life cycle ",Advisor,USA/Canada,Berkeley Skydeck,recSWVxFAFHwxmyr3
Rathnakumar Udayakumar,Netradyne,"Amazon, IBM, Clara Analytics, Crayon Data ","I am Rathnakumar, a seasoned tech professional with over 10 years of professional experience in the field of Data Science and AI. During my career, I have had the privilege of working with several Fortune 500 companies such as Amazon and IBM, as well as high-growth startups operating in the data and AI space, building SAAS and PAAS products across the globe. In addition, I have been an entrepreneur and have founded and co-founded multiple startups, going through the journey of launching, fundraising, and acquisitions.  Apart from my professional pursuits, I have also established myself as an accomplished author, blogger, YouTuber, startup mentor, and data and AI enthusiast. I am deeply passionate about sharing my knowledge on various topics, such as entrepreneurship, technology, productivity, minimalism, and startups. To this end, I have utilized a diverse range of mediums, including books, blogs, and my YouTube channel, to disseminate my thoughts and insights.",Data Science and AI,Advisor,USA/Canada,Berkeley Skydeck,recSX0LhirrvjlIyx
Daniel Kwan,Dignity Health-GoHealth Urgent Care,"Vituity, InterfaceED, Good Samaritan Hospital, Memorial Medical Center in Modesto","Medical School at Washington University in St. Louis. Residency at UCSF Fresno. Emergency Medicine Physician for 9+ years. ER Assistant Medical Director for 2 years. Currently, medical director for Dignity Health-GoHealth Urgent Care. Earning MBA at Haas School of Business (expected 2024). Advised several digital health startups including Warrior Health. ","Digital Health, Digital Therapeutics, Emergency Medicine, Urgent Care Medicine, Healthcare Administration, Healthcare Leadership, Medical Documentation",Advisor,USA/Canada,Berkeley Skydeck,recSctwvCF25S3PmB
Priyanka Sanghvi,Microsoft,"Sharp-NEC Display Solution (Innovation Team), SnapOne, MeadWest Vaco, AAC Technologies","Product Manager by professional, enjoy developing and launching product from concept by facilitating ideation workshops, prototyping, user research, and commercialization. ","Consumer Electronics, Edtech, Smart Home. B2B and B2C products",Mentor,USA/Canada,Berkeley Skydeck,recSlEXRWf0UgFG2x
Fred Tabsharani,"Loxz Digital Group, Inc. ","Loxz, Zetalytics, Port25","Servant Leadership, Technical ML Background, Data Science Manager, ","ML, Leadership and can spot a winning business model from a mile away.  ",Advisor,USA/Canada,Berkeley Skydeck,recSwRszyR0OYkLAe
Jeffrey Lai,Apple,"Apple, NASA, Cisco, Cisco Webex","CMU grad, UC alumni. Learned to code at age of 12. I built Siri in Chinese language from scratch 11 years ago as the lead engineer and the first hire in the Chinese Siri language engineering team at Apple.","starup, pitch, coding, AI/ML, presentation, build things from scratch",Mentor,USA/Canada,Berkeley Skydeck,recSyEA30gJjiUC6E
LInda Jenkinson,Multiple Boards,"John Paul (sold for $150million), DMSC (listed on the NASDAQ - $250mil ARR)",I have started multiple companies as CEO/Founder - I was the first women to list on as CEO/Founder on the NASDAQ and have been building large growth companies for 30 years.,"High Growth, Disruptive Companies, Women Entrepreneurs",Advisor,USA/Canada,Berkeley Skydeck,recT7Kld6mDVYjkJz
Zhen Wang,www.technologycredit.io     www.earncheese.com,"EY, Goldman Sachs","Finance, Tax, and Operation ","Startups, Fundraising, Finance, Tax and Product Development ",Advisor,USA/Canada,Berkeley Skydeck,recT7VSEybDSZRbiy
Brian A Pietras,Independent Consultnat,"Zendesk, Workday, Index Ventures, Unilever Ventures, SAP, Thomason Reuters"," Senior executive with over 20 years of experience at the intersection of product led growth, internationalization and emerging technology, SaaS, and cloud solutions. Investment and strategy experience from early stage startups to market leading scale ups.  Spent 7 years in UK/Ireland.  MBA from London Business School","Corporate Strategy, GTM Strategy, Funding Raising, Working with Large Corporates, International and New Market Expansion",Advisor,USA/Canada,Berkeley Skydeck,recT9QWqAL7Faz49l
Michael Dueweke,"Ontera, Inc","NextInput (acquired by Qorvo, Inc.), Aurrion (acquired by Juniper Nextworks, Inc.), InvenSense (IPO, later acquired by TDK), Silicon Light Machines (acquired by Screen Ltd.), Cypress Semiconductor (now Infineon)","Michael brings 20 years’ experience with semiconductor, MEMS, silicon photonics, and medical device startups. As an early employee at InvenSense, Michael led operations and quality teams, transferring a MEMS/CMOS gyroscope process from development fabs to top foundries, and shipping over a billion inertial sensors. As Head of Quality at NextInput, Michael championed the qualification of MEMS and CMOS ICs to AEC-Q100 standards for top automotive customers. At Silicon Light Machines, Michael led the development of a maskless lithography optical engine currently in production use. He manages device manufacturing and quality at Ontera, an IVD medical systems startup developing molecular diagnostics for SARS-CoV-2 and other diseases. ","areas of experience: MEMS (micro-electromechanical systems), semiconductor, IVD medical devices, silicon photonics      other interests: RF/ mmwave technology, AI/ML, quantum computing                          Note: not a Cal alum",Advisor,,Berkeley Skydeck,recTDOEb1igCcLUWx
Jonathan Kalibbala,HashiCorp,"Deloitte Consulting, Hewlett Packard Enterprise, McKesson Corporation","I have worked in the in Cloud and Data Center Infrastructure space for almost 20 years including; systems engineering, architecture, IT Service Management, IT Operations and Customer Success.","Customer Success, Cloud Infrastructure, Data Center Technologies",Advisor,USA/Canada,Berkeley Skydeck,recTGmuNcZqjeiHtu
Rahul Unnikrishnan Nair,Intel Corp,"Tata Consultancy Services, Texas Sustainable Energy Research Instistute","I have been working in the field of AI and ML for a decade now.  One of the first use of Deep RL for CPU optimization was done by my team at Intel. I now lead the Intel OneAPI for Startups programs Technical team, where I work closely with startups to help to optimize, scale and build awesome products.","Applied Machine Learning, Systems ML, Software Optimization, cloud native deployments and scaling. ",Mentor,USA/Canada,Berkeley Skydeck,recTK7Ohd7v4nyTvZ
Veni Dhir,Nextdoor,"Industrial Growth Partners, Palladium Equity Partners, Morgan Stanley","Experienced Finance and Investments professional with a strong track record of working across multiple asset classes. Skilled in quantitative and qualitative analysis, valuation, investment banking, private equity and SPACs.","Private Equity Investing, M&A, SPACs, Fundraising, Corp Dev, and Strategy",Mentor,USA/Canada,Berkeley Skydeck,recTK7ZUBEZqEsLI9
Silvia Pugi,"manageritalia, IAG Italian angels for growth, A4W angels4women","booz allen hamilton, vodafone, fastweb, valtur","Business executive with international experience in marketing and sales, I’m currently in charge of sustainability in a major company. Angel investor and screening committee with IAG – Italian Angels for Growth and A4W - Angels4Women, with investments in digital, travel, sustainability, food, luxury, education.","I’m a mentor specialized in go-to-market for several accelerators, supporting startups in formulating business plan and value proposition, addressing gaps in their strategy and positioning themselves on the market.",Advisor,Europe,"SkyDeck Europe, Milano",recTKMIkZKG4XqDIV
JD Margulici,Novavia Solutions,"UC Berkeley, Vehicle Data Science, Infinite Uptime","I have been technical cofounder of two startups, both of which were housed in the UC Berkeley ecosystem -including Infinite Uptime at SkyDeck, which to date has scaled to a Series B round. I am interested in helping startup design their software stack and capabilities.","Information systems architecture, IoT, Digital Twins, machine learning, data pipelines, physical world modeling.",Mentor,USA/Canada,Berkeley Skydeck,recTXhB9dHQHE2VYe
Lavanya Anandan,Merck Group,"EMD Serono, Millipore Sigma, Sigma Aldrich ","Lavanya Anandan is the Senior Director of Group Innovation Portfolio Management at Merck Group and is responsible for managing the company’s diverse transformational portfolio in the Life Sciences, Biopharma and Electronics industries. Prior to this, as Director of the Innovation Field Cultured Meat, she and her team established and built a new venture business dedicated to developing enabling technologies to accelerate cultured meat production at scale.  Lavanya has held diverse roles in strategy development, innovation management, sales, and marketing over her decade-plus long career in the biotech industry. She holds a PhD and BS in Molecular & Cellular Biology from the University of Illinois at Urbana-Champaign. She is an advisor to AiiM Partners, an impact investment fund focused on addressing climate change and on the advisory board of University of California-Davis’ Biotechnology Program. ","Life Science, Healthcare, Sustainability ",Mentor,USA/Canada,Berkeley Skydeck,recTjSKceos5cCtik
Nick Lee,Enterprise AI Consulting,"Xamarin, Adobe, Databricks, Labelbox","While at Cal in 2012, I started a social venture and joined one of the early batches at Skydeck (this was before Skydeck provided funding and took equity). After graduation, I went on to work in Enterprise SaaS and honed in on Data and AI as a specialty. I joined Databricks at <$1BN valuation and left when they were around $15BN, so I experienced that growth and helped shape a lot of the customer-facing practices there on the post-sales side (I was their 5th Customer Success Engineer hire). I went on to Labelbox and launched the Databricks & Labelbox integration which resulted in a strategic partnership with Databricks. Databricks participated in Labelbox's Series D. After a brief stint as a Product Manager for Data at John Deere subsidiary, I decided to venture off on my own to consult with startups and do some angel investing. I received my Bachelor's and Master's degrees from from UC Berkeley. Go Bears!","Data & AI, Enterprise SaaS, GTM (especially sales engineering or post-sales customer success)",Advisor,USA/Canada,Berkeley Skydeck,recTkXEybCoHGHMnx
Oleg Mikhalsky,https://fulgur.ventures/,https://www.acronis.com/it-it/company/,"Partner at an early stage VC fund, already invested in SkyDeck alum LastBit.io. Angel investor and startup mentor since 2008. Focused on B2B startups, fintech and blockchain.","blockchain, fintech",Advisor,USA/Canada,"SkyDeck Europe, Milano",recTlFArhBTR0EafU
Giovanni Magni,Retired - Private Investor,"Baxter Diagnostics, Bio-Rad Laboratories","Please, see my attached Bio","Biotech , Operations, Sales and Marketing , WW companies organization ",Advisor,USA/Canada,"SkyDeck Europe, Milano",recTlM0S3sBMqUOmd
Mohan Atreya,Rafay Systems,"Okta, McAfee, Cisco, RSA, Neustar","Learnt mostly in school of hard knocks. Have taken companies from concept to acquiring first customer to market leader. Prefer to operate at the intersection of product, marketing and sales. ","security, cloud, infrastructure, product management, b2b, SaaS",Advisor,USA/Canada,Berkeley Skydeck,recTnx5Lj7tUwP0Xb
Bonnie Lin,Silicon Valley Social Venture Fund (SV2) ,"The Rainmakers Global, BHP, Minderoo Foundation, Boeing, Curtin University, U.S. Economic Development Administration, Salesforce ","25 years advising family offices, corporates & governments on venture capital, impact investing, and innovation-led economic development","M&A, Business Development, Strategic Partnerships, Venture Capital, Impact Investing, Economic Development",Advisor,USA/Canada,Berkeley Skydeck,recToiAeGSJfbrFHg
Hiroaki Kuwajima,"XYZ Co., LTD (Great Circle Advisors)",Mitsubishi Corporation/JTEKT,Technology/Innovation/Asia/Food Tech/Automotive,Auto/Food Tech,Advisor,USA/Canada,Berkeley Skydeck,recU6B4ygpTulvHWR
Ryan Stone,Cadence Design Systems,"Cadence Design Systems, Cooley LLP, Kirkland & Ellis, Microsoft, US Marine Corps","OSU-BS Aviation Science (2006); Harvard-MPA (2016); Columbia-JD (2016); Berkeley-MBA (2022); US Marine Corps intelligence office for 4 years; Helped start a nonprofit in Senegal; Advised UNDP in Ghana; Attorney at Microsoft focusing on AI, cyber, trade and policy; Private Equity attorney; Corporate Attorney (Venture Financing, M&A, and IPOs); General in-house attorney; Advised dozens of boards and CEOs for startups and nonprofits as attorney or part-time consultant","Legal, M&A, semiconductor, venture financing, BD, diligence",Advisor,USA/Canada,Berkeley Skydeck,recUB1Jbdfgd9ygxD
Praveen Settipalli,Google ,"eBay, Attune (start-up), Kohls","Product leader with 12+ years Product Management experience and proven track record in setting product strategy and scaling products, with strong domain expertise in Search, Ads and Machine Learning. Committed to ownership, curiosity, empathy, empowering teams, and lifelong learning. Actively advising 4 startups currently and have bandwidth to advise a few more. ","Marketplaces, Gen AI, Machine Learning for Search, Monetization, Recommendations and productivity apps",Advisor,USA/Canada,Berkeley Skydeck,recUGxyOcxOBhr65e
Monica Girardi,Enel SpA,"Barclays, Lehman Brothers, JPMorgan","I am currently the Head of Group Investor Relations of Enel. Born in 1979, I hold a cum laude degree in Business Administration, major in Finance, from Bocconi University. I started my career in 2001 as an equity sales person in Unicredit Group and JPMorgan. In 2005, I joined Lehman Brothers equity research team as analyst to cover European Utilities and Infrastructure moving in 2009 to Barclays as senior research analyst responsible for Italian and Iberian Utilities. I participated to a number of IPOs and advisory projects working closely to the US Utilities team and Investment Banking Division. I joined Enel in March 2018 to lead Investor Relation activities.  I am a director in two subsidiaries of the Enel Group, one of which listed, and academic fellow of the SDA Bocconi master in corporate finance. ","Climate transition, ESG, renewables, Utilities, strategy, client positioning, fundraising ",Advisor,Europe,"SkyDeck Europe, Milano",recUVb6u95FLa2G2M
Billie Miric,Vertex Inc.,"Enfusion, Bridgewater Associates, PayPal, Procter & Gamble, iGoGive GmbH","I am a senior business executive with demonstrated experience in building businesses, developing products and organizations, and growing revenue for public and private companies across industries, geographies, and stages of development.","Business Areas: General Management (though the entire P&L), Product Management, GTM, Strategy, Operations, etc.; Industries: FinTech (Payments, Investment Management), Capital Markets, eCommerce, Tax Saas, CPG",Advisor,USA/Canada,Berkeley Skydeck,recUWLFAzUlSCewG8
Pierluigi Paracchi,Genenta ,Quantica ,Entrepreneurs and former VC,Biotech,Mentor,Europe,"SkyDeck Europe, Milano",recUWihvWRFpO3dl1
Dario Rienhardt,"arksolutions GmbH, Munich, Germany","IBM, KPMG, LMP Partners, several startups","Trained software developer (3 years); Master’s degree in Finance, Business and IT from TU Munich; IT Strategy Consultant at IBM and KPMG, worked abroad in China (5 years); worked in different StartUps, founded one (a non-profit); Investment Manager and deal flow-responsible at Munich-based VC/PE boutique firm (4 years); Shareholder and Managing Director of SMB IT Consulting company - arksolutions (4 years); StartUp-Advisor to modelwise (Skydeck 2021-batch company) since 2018","IT-driven business models as core focus; Areas of Interest/Expertise: operational restructuring, business planning, funding, controlling/reporting",Advisor,Europe,"SkyDeck Europe, Milano",recUXxFyTHxVWCoXj
Scarlett Ho,UC Berkeley,"HPE, Dell ","I was a Sr. Principal Development Manager in Dell server.  Prior to that, I was a Manager in HPE server.  Now I am a Visiting Scholar of Berkeley-Taiwan-Biomedical Fellowship in UC Berkeley.    I have 10 years of experiences in product development and people management in Cloud and IT space, i.e. HPE and Dell. I took several products from Concept, proto, to launches that I feel this is the area I could be helpful to a startup.  I am also proficient in supplier/ODM/manufacture managements and engagements, not to mention the affiliations with Taiwan/China supply chains.    When I worked in HPE, I initiated a team from the scratch, starting from hiring, coaching, defining team’s roadmap and scope, partnering with U.S. teams, looking for resources and funding, etc. kind of like building a startup within a big corporate.  I will be so happy if my experiences could benefit startups and help them to excel!","My expertise areas are: Product development, Cloud and IoT, supplier/ODM/manufactory management and engagement.  Also interested in: Healthcare, smart health, precision healthcare, food tech",Advisor,USA/Canada,Berkeley Skydeck,recUa5Wwf4FjjVGKx
Martin Gershon,McGill University,Endeavor ,"Dr Martin Gershon is a Leading Healthcare Innovation Strategist, Futurist & Advisor for Emerging Healthcare Unicorns & Fortune500 companies, designing bespoke strategies for CEOs to grow, scale, & commercialize disruptive new technologies like AI  He is the Chief Innovation & Investment Officer and Director of Entrepreneurship & Commercialization at McGill University, a prominent Venture investor featured on CNBC & in Fast Company, a designated Standard & Poor’s Healthcare Industry Leader, Google Healthcare Scholar, Memorial Sloan-Kettering Cancer Center Mayday Fellow neuroscientist, oncologist/immunologist, & FDA regulatory attorney  He is Executive-in-Residence Matter Health Accelerator, Series A Venture Fellow Newchip Accelerator, Techstars Life Science Mentor, Harvard Innovation Labs Mentor, MassChallenge Expert Investor & Mentor, NYU Stern Business School Entrepreneurship Mentor, Ben Franklin Investment Committee, Harvard Alumni Technology Life Sciences Division Lead, active member Harvard Business School Healthcare Alumni",Healthcare and Life Science,Advisor,Europe,"SkyDeck Europe, Milano",recUmXbp3S2n4prdi
Andrea Iannelli,Fidelity International,"Goldman Sachs, Barclays Capital","Italian living in London for 21 years, I have been working in finance for the past 18 in some of the world's largest financial institutions, in trading, sales and business development roles. Currently at Fidelity International, Fidelity's ex-US arm. After working in the fixed income product management team, I am now leading the development of Fidelity's asset management service platform. Angel investor across verticals for the past 5 years. As an angel I like to play an active role, by introducing companies I support to my network of potential advisors and investors. Mentor to startups through the LSE Generate Accelerator at the London School of Economics, my alma mater. Experience as Non-Executive Director to fintech startups.","SaaS, fintech, consumer. Experience and interest in fintech",Advisor,Europe,"SkyDeck Europe, Milano",recUqTTA7MdMBnp6o
Youssef Barhomi,Recursion,Vium,"With over 15 years of experience in computer vision and machine learning, both in academia (MIT, Brown) and industry (Vium, Recursion), I am currently a staff machine learning scientist at Recursion. Recursion is a techbio company that uses artificial intelligence to discover new drugs.  My career began at Brown University, where I built a 24-cage vivarium for automated mouse behavior recognition using computer vision algorithms. This vivarium was utilized by 5 teams to conduct over 30 pre-clinical experiments, leading to the identification of a mouse behavioral signature associated with a neurodegenerative disease linked to the TDP43 gene. The results of these experiments were published in a Nature Neuroscience paper.  Building on the success of the automated vivarium, I co-founded a startup to commercialize the technology developed at Brown University. After 9 months, I encountered Vium, a well-funded company with a similar mission, and made the decision to join them. At Vium, I continued my work on developing machine vision algorithms to expedite pre-clinical trials. Subsequently, Vium was acquired by Recursion. Currently, at Recursion, I lead the machine learning efforts to accelerate pre-clinical trials within a broader scope of drug development.","Computer vision, machine learning, pre-clinical studies",Mentor,USA/Canada,Berkeley Skydeck,recUvAmr4G9CUbVcp
Pedro Sousa,Google Cloud,"Amazon, Airbnb, Sonae","I'm an experienced operator with previous leadership roles at Google, Amazon and Airbnb, which I helped launch as an early employee in South Europe.","Cloud, E-commerce, Data & AI",Mentor,Europe,"SkyDeck Europe, Milano",recV6HclHVQvbKm5T
Mandeep Arora,NordicEye Venture Capital,Cantaloupe Inc (NASDAQ: CTLP),"I started Cantaloupe Systems in 2003 and ran that through 2017 when we merged with USA Technologies. We provided IoT, Payment and SaaS solutions to the unattended retail sector (Vending Machines etc). At the time of my departure we had over 1 Million machines on our network. Currently I advise a number of startups directly as well as through my role at NordicEye Venture Capital","Growing startups, Culture, Management Teams, Strategy",Advisor,USA/Canada,Berkeley Skydeck,recV7112jIqjpmRZ0
Shyaam Ramkumar,Freelance Consultant,"Mamazen, Circle Economy, Ellen MacArthur Foundation, Accenture, The Cambridge Group","I have over 10 years of experience in sustainability and circular economy in Europe and the United States, helping companies and governments develop strategies to incorporate sustainability and circular economy thinking to achieve their impact goals and targets. I have also been an advisor and mentor in startup and accelerator programs, particularly for companies that have an impact-oriented business. I am currently finishing a PhD that uses network analysis and sociology theories to help startups and scale-ups identify the right partners and potential customers who are well-positioned in their industry and can create network effects that can accelerate growth and scaling.","Circular Economy, Sustainability, Business Development, Growth Strategy",Advisor,USA/Canada,Berkeley Skydeck,recV8Ki9zJk4mIVLE
Azamat Ulbashev,Legendarium - CultTech Startup Studio,"HealthTech, AI Geospatial, GameDev",serial entrepreneur with different areas of expertise,AI,Mentor,Asia,"SkyDeck Europe, Milano",recVG5kmgxQ3rDs44
Bryan Martel,Environmental Capital Group,"Bechtel, Dow Chemical, Berkeley Engineering And Research, Mobius Technologies, Environmental Capital Group, C-Change, Climate Bond Initiative ",I'm passionate about life and want to make difference. I'm an engineer and still a ski instructor. I've worked at some big companies and started 4 companies. I led the clean technology investment program for CalPERS. I hiked 1000 miles last year. I'm a proud dad.,"Mechanical Engineering, Climate Change, Climate Change Finance, Start-Ups, Sustainability, Venture Capital and Private Equity, ",Advisor,USA/Canada,Berkeley Skydeck,recVIsh2VJkVQabYG
Nathan Trueblood,self,Box.com,Product and technology executive with 30+ years of experience,"Product management, Software-as-a-Service, Cloud computing, Big Data, Data Science, Storage and Content Management",Advisor,USA/Canada,Berkeley Skydeck,recVJ7S1CE0WCLGsS
Craig Conlee,Siemens,"Booz Allen Hamilton, Zealr, TIBCO, HP, IBM","Seasoned software sales executive turned entrepreneur turned product-led sales strategist. I have contributed to my success by being equally split between “left and right brain.”  Discipline to process, creative problem solver, confident presenter, love to challenge methodology, an uncanny ability to discover lucrative opportunities, and proven to close complex deals.   Highly skilled in relationship building, quarterbacking teams, presentations, solution discovery, business case analysis, deal reviews, territory development, and ROI development.","Product-Led Sales, GTM, B2B, Storytelling, SaaS, Sales Process, Product Telemetry, Growth Loops, LAER",Advisor,USA/Canada,Berkeley Skydeck,recVJQA3zIypRaS5E
Gianluca Meardi,V-Nova Ltd. (owned company),"IBM, PwC, Reply","27+ years of innovation-led Consultancy and entrepreneurship. Passionate to blend business value, experience and technology with art. Pls ref. to linkedin for more infos.","Edge Innovation, Strategy & Design, Digital Fabrication. Robotics",Advisor,Europe,"SkyDeck Europe, Milano",recVMORTzgnn3edT3
Daniele Filippetto,Lawrence Berkeley National Laboratory,"National Institute of Nuclear Physics, Italy",EE bachelor and PhD in applied physics,"nanoscience, Imaging, laser technology, Electron beam technology for semiconductor industry and medicine",Mentor,USA/Canada,"SkyDeck Europe, Milano",recVaF9a5n8fYAmkz
